City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sorong,40,ID,1650909014,84,-0.8833,131.25,79.48,1.1
1,Sioux Lookout,100,CA,1650909015,73,50.1001,-91.917,17.67,12.66
2,Rikitea,100,PF,1650908901,78,-23.1203,-134.9692,75.58,13.29
3,Vaini,100,TO,1650908675,94,-21.2,-175.2,71.76,18.41
4,Kruisfontein,55,ZA,1650908676,81,-34.0033,24.7314,57.88,6.35
5,Hazorasp,100,UZ,1650909016,29,41.3194,61.0742,62.44,15.08
6,Lebu,100,CL,1650909016,69,-37.6167,-73.65,56.75,21.7
7,Butaritari,29,KI,1650909017,83,3.0707,172.7902,79.81,15.03
8,Nishihara,75,JP,1650909017,97,26.1842,127.7558,76.68,13.8
9,Busselton,97,AU,1650909017,74,-33.65,115.3333,62.62,17.65
10,Albany,100,US,1650908932,34,42.6001,-73.9662,67.95,7.0
11,Cape Town,0,ZA,1650909002,70,-33.9258,18.4232,61.21,14.97
12,Hasaki,98,JP,1650909018,89,35.7333,140.8333,61.2,5.99
13,Owando,93,CG,1650909018,78,-0.4819,15.8999,78.3,3.53
14,Los Llanos de Aridane,20,ES,1650909019,79,28.6585,-17.9182,69.55,9.22
15,Porto-Novo,43,BJ,1650909019,77,6.4965,2.6036,85.82,8.7
16,Vyaz'ma,100,RU,1650909020,97,55.2104,34.2951,46.6,3.89
17,East London,0,ZA,1650909020,88,-33.0153,27.9116,58.14,9.22
18,Puerto Ayora,78,EC,1650909021,78,-0.7393,-90.3518,76.96,10.0
19,Kitui,80,KE,1650909021,78,-1.367,38.0106,67.44,2.19
20,Asău,35,RO,1650909022,77,46.4333,26.4,53.96,5.21
21,Jamestown,75,US,1650909023,46,42.097,-79.2353,76.64,12.66
22,Sola,81,VU,1650909023,74,-13.8833,167.55,79.77,8.03
23,Port Elizabeth,0,ZA,1650908878,90,-33.918,25.5701,60.1,13.8
24,Samarai,52,PG,1650908689,78,-10.6167,150.6667,82.31,13.78
25,Poum,93,NC,1650908690,66,-20.2333,164.0167,74.95,13.67
26,Saskylakh,83,RU,1650908690,100,71.9167,114.0833,-8.54,3.83
27,New Norfolk,71,AU,1650908691,85,-42.7826,147.0587,50.72,2.26
28,Ushuaia,75,AR,1650908692,75,-54.8,-68.3,42.46,17.27
29,Brighton,40,GB,1650908637,62,50.8284,-0.1395,57.61,12.66
30,Baykit,97,RU,1650908693,93,61.67,96.37,22.42,3.29
31,Nikolskoye,100,RU,1650908694,96,59.7035,30.7861,41.72,4.59
32,Port Alfred,46,ZA,1650908695,86,-33.5906,26.891,58.17,1.01
33,Hailar,96,CN,1650908695,97,49.2,119.7,33.01,22.66
34,Port Hedland,65,AU,1650908696,83,-20.3167,118.5667,71.65,1.14
35,Bilibino,100,RU,1650908697,89,68.0546,166.4372,12.85,4.21
36,Baker City,0,US,1650908698,34,44.7749,-117.8344,57.6,14.97
37,Mataura,19,NZ,1650908699,82,-46.1927,168.8643,50.49,6.4
38,Karatau,33,KZ,1650908699,57,43.1667,70.4667,52.77,4.38
39,Ithaca,0,US,1650908639,53,42.4406,-76.4966,77.02,13.8
40,Lantangan,100,PH,1650908700,82,11.5882,123.3256,82.13,14.45
41,Barrow,100,US,1650908701,79,71.2906,-156.7887,10.42,6.91
42,Manokwari,33,ID,1650908702,81,-0.8667,134.0833,78.78,2.24
43,Nichinan,60,JP,1650908703,97,31.6,131.3667,69.84,5.75
44,Mitsamiouli,61,KM,1650908704,77,-11.3847,43.2844,81.37,9.62
45,Luganville,90,VU,1650908704,87,-15.5333,167.1667,76.64,7.45
46,Punta Arenas,75,CL,1650908705,81,-53.15,-70.9167,44.71,17.27
47,Aklavik,100,CA,1650908706,100,68.2191,-135.0107,32.65,1.79
48,Bluff,30,NZ,1650908707,66,-46.6,168.3333,50.81,23.44
49,Fortuna,20,US,1650908707,79,40.5982,-124.1573,60.93,8.05
50,Castro,0,BR,1650908708,48,-24.7911,-50.0119,77.54,3.42
51,Hermanus,0,ZA,1650908708,73,-34.4187,19.2345,58.8,5.17
52,San Isidro,40,PE,1650908702,71,-12.1167,-77.05,71.51,4.61
53,Dzidzantun,1,MX,1650908709,34,21.25,-89.05,95.99,6.96
54,Kampene,55,CD,1650908709,93,-3.6,26.6667,70.03,1.43
55,Dikson,96,RU,1650908710,100,73.5069,80.5464,1.44,4.63
56,Xunchang,89,CN,1650908710,78,28.4543,104.715,65.25,0.81
57,Owen Sound,100,CA,1650908711,68,44.5672,-80.9435,56.43,11.01
58,Saint-François,100,FR,1650908441,67,46.4154,3.9054,58.44,9.22
59,Hobyo,28,SO,1650908712,72,5.3505,48.5268,83.68,12.93
60,Vestmannaeyjar,75,IS,1650908713,81,63.4427,-20.2734,45.59,8.05
61,Banda Aceh,99,ID,1650908713,82,5.5577,95.3222,80.26,12.55
62,Cidreira,96,BR,1650908713,67,-30.1811,-50.2056,75.49,12.48
63,Kapaa,20,US,1650908714,82,22.0752,-159.319,75.47,14.97
64,Qaanaaq,90,GL,1650908715,66,77.484,-69.3632,11.62,4.97
65,Marsá Maţrūḩ,0,EG,1650908716,82,31.3525,27.2453,66.4,11.5
66,Atuona,32,PF,1650908717,77,-9.8,-139.0333,78.24,17.13
67,Caravelas,9,BR,1650908717,62,-17.7125,-39.2481,83.55,7.29
68,Keta,15,GH,1650908718,74,5.9179,0.9879,86.22,9.44
69,San Marcos,0,US,1650908719,17,33.1434,-117.1661,87.73,4.0
70,Sackville,53,CA,1650908720,63,45.9188,-64.3846,54.86,7.36
71,San Andrés,40,CO,1650908721,70,12.5847,-81.7006,87.82,13.8
72,Alugan,100,PH,1650908722,86,12.2188,125.4808,80.82,13.04
73,Salinópolis,75,BR,1650908722,81,-0.6136,-47.3561,81.86,9.98
74,Hualmay,95,PE,1650908723,71,-11.0964,-77.6139,72.68,9.64
75,Akhtanizovskaya,29,RU,1650908724,76,45.32,37.1,59.49,5.44
76,Narsaq,93,GL,1650908725,76,60.9167,-46.05,46.62,1.99
77,Portland,100,US,1650908621,89,45.5234,-122.6762,55.2,6.91
78,Zaraza,95,VE,1650908726,41,9.3503,-65.3245,92.28,5.17
79,Tsiroanomandidy,78,MG,1650908726,79,-18.7667,46.0333,67.08,3.15
80,Pemangkat,100,ID,1650908727,85,1.1667,108.9667,77.13,3.51
81,Inuvik,75,CA,1650908728,56,68.3499,-133.7218,40.06,9.22
82,Kamaishi,100,JP,1650908729,85,39.2667,141.8833,55.13,8.23
83,Lompoc,0,US,1650908729,64,34.6391,-120.4579,79.7,4.61
84,Constitución,100,CL,1650908730,75,-35.3333,-72.4167,57.15,7.81
85,Thaton,8,MM,1650908731,74,16.9206,97.3714,83.95,6.29
86,Aasiaat,97,GL,1650908731,86,68.7098,-52.8699,28.49,2.77
87,Pilar do Sul,3,BR,1650908731,51,-23.8131,-47.7164,80.17,2.51
88,Oranjemund,0,NA,1650908732,76,-28.55,16.4333,57.49,19.69
89,Fernley,97,US,1650908732,13,39.608,-119.2518,65.05,4.0
90,Lorengau,92,PG,1650908732,81,-2.0226,147.2712,80.37,7.07
91,Provideniya,42,RU,1650908733,87,64.3833,-173.3,23.14,12.71
92,Avarua,88,CK,1650908734,100,-21.2078,-159.775,71.65,2.3
93,Bengkulu,99,ID,1650908734,91,-3.8004,102.2655,76.08,6.93
94,Tasiilaq,100,GL,1650908734,96,65.6145,-37.6368,37.56,8.32
95,Saint Paul Harbor,100,US,1650908735,65,57.79,-152.4072,38.71,12.66
96,Nago,11,JP,1650908736,93,26.5881,127.9761,77.45,11.9
97,Sitka,20,US,1650908737,76,57.0531,-135.33,44.49,0.0
98,Kaitangata,5,NZ,1650908737,74,-46.2817,169.8464,46.58,12.19
99,Esperance,100,AU,1650908737,43,-33.8667,121.9,67.84,24.7
100,São João da Barra,28,BR,1650908738,68,-21.6403,-41.0511,78.89,9.93
101,Tazovsky,80,RU,1650908738,96,67.4667,78.7,6.06,7.67
102,Tabas,87,IR,1650908739,14,33.5959,56.9244,84.88,3.24
103,Excelsior Springs,75,US,1650908740,50,39.3392,-94.2261,55.71,9.22
104,Chokurdakh,100,RU,1650908740,92,70.6333,147.9167,6.15,6.26
105,Adré,100,TD,1650908741,20,13.4667,22.2,91.83,6.8
106,Isangel,99,VU,1650908742,69,-19.55,169.2667,76.66,15.19
107,Hinton,60,CA,1650908743,41,53.4001,-117.5857,55.0,5.19
108,Bathsheba,75,BB,1650908744,94,13.2167,-59.5167,75.81,16.11
109,Mayo,100,US,1650908599,77,38.8876,-76.5119,69.19,8.05
110,Nadym,35,RU,1650908745,93,65.5333,72.5167,13.69,7.81
111,Arraial do Cabo,40,BR,1650908745,69,-22.9661,-42.0278,80.56,12.66
112,Kahului,40,US,1650908746,83,20.8947,-156.47,74.84,20.71
113,Salalah,0,OM,1650908747,70,17.0151,54.0924,84.29,5.75
114,Bredasdorp,10,ZA,1650908748,72,-34.5322,20.0403,56.19,3.53
115,Tuatapere,25,NZ,1650908749,86,-46.1333,167.6833,42.57,6.2
116,Hobart,40,AU,1650908750,91,-42.8794,147.3294,51.06,10.36
117,George Town,20,MY,1650908566,92,5.4112,100.3354,82.33,4.61
118,Taitung City,24,TW,1650908521,82,22.7583,121.1444,78.37,5.55
119,Fowa,53,NG,1650908750,38,8.9167,6.4,91.85,3.24
120,Camacha,20,PT,1650908751,77,33.0833,-16.3333,62.02,9.22
121,Yellowknife,75,CA,1650908456,60,62.456,-114.3525,34.32,12.66
122,Saint George,0,US,1650908752,17,37.1041,-113.5841,69.44,4.61
123,The Valley,40,AI,1650908494,57,18.217,-63.0578,84.06,12.66
124,Terme,12,TR,1650908753,84,41.2092,36.9739,58.93,6.15
125,Mahajanga,94,MG,1650908754,62,-15.7167,46.3167,82.99,10.04
126,Qaqortoq,90,GL,1650908754,79,60.7167,-46.0333,39.06,6.11
127,Buin,5,CL,1650908524,42,-33.7333,-70.75,75.87,6.73
128,Nuuk,75,GL,1650908650,74,64.1835,-51.7216,32.61,4.61
129,Kilindoni,51,TZ,1650908755,77,-7.9139,39.6668,82.38,10.07
130,Lüderitz,0,NA,1650908756,60,-26.6481,15.1594,60.76,17.96
131,Richards Bay,100,ZA,1650908757,88,-28.783,32.0377,67.23,15.14
132,Uglegorsk,42,RU,1650908757,80,49.0833,142.0333,29.37,3.71
133,Yar-Sale,51,RU,1650908758,96,66.8333,70.8333,14.2,7.38
134,Padang,100,ID,1650908758,88,-0.9492,100.3543,77.61,4.65
135,Moose Factory,100,CA,1650908759,66,51.2585,-80.6094,50.0,13.8
136,Longyearbyen,75,SJ,1650908760,56,78.2186,15.6401,4.84,13.8
137,Rome,0,US,1650908747,41,43.2128,-75.4557,73.58,11.5
138,Bow Island,50,CA,1650908761,33,49.8668,-111.3684,61.81,16.11
139,Hong Kong,19,HK,1650908679,83,22.2855,114.1577,82.45,8.01
140,Choctaw,0,US,1650908675,46,35.4976,-97.2689,62.33,16.11
141,Chernyshevskiy,63,RU,1650908762,97,63.0128,112.4714,6.17,2.13
142,Cerrito,100,CO,1650908763,89,6.8432,-72.694,57.9,4.14
143,Torbay,100,CA,1650908763,94,47.6666,-52.7314,44.89,20.0
144,Yavaros,4,MX,1650908764,28,26.7,-109.5167,87.46,7.23
145,Morant Bay,37,JM,1650908765,73,17.8815,-76.4093,83.82,10.56
146,Nelson Bay,100,AU,1650908766,67,-32.7167,152.15,61.0,4.76
147,Kānt,0,IN,1650908645,13,27.8,79.8,90.66,8.25
148,Half Moon Bay,0,US,1650908767,64,37.4636,-122.4286,71.46,5.75
149,Baswa,61,IN,1650908767,14,27.15,76.5833,90.82,6.76
150,Kupang,58,ID,1650908768,80,-10.1667,123.5833,75.29,5.3
151,Flin Flon,0,CA,1650908768,33,54.7682,-101.865,21.04,8.05
152,Ahipara,50,NZ,1650908769,84,-35.1667,173.1667,61.3,7.11
153,Schisma Eloundas,12,GR,1650908770,69,35.2667,25.7167,67.84,4.27
154,Port Blair,20,IN,1650908771,83,11.6667,92.75,82.44,2.3
155,Guayaramerín,75,BO,1650908772,58,-10.8368,-65.3614,91.45,6.91
156,Pisco,0,PE,1650908773,83,-13.7,-76.2167,70.02,8.05
157,Katsuura,97,JP,1650908773,92,35.1333,140.3,66.52,3.65
158,Port Lincoln,92,AU,1650908774,80,-34.7333,135.8667,64.65,7.4
159,Mahébourg,40,MU,1650908775,73,-20.4081,57.7,75.49,11.5
160,Saint-Pierre,20,RE,1650908776,82,-21.3393,55.4781,74.88,17.27
161,Zeya,97,RU,1650908776,53,53.75,127.2667,29.05,5.32
162,Yerbogachën,69,RU,1650908777,97,61.2767,108.0108,22.89,2.75
163,Namatanai,100,PG,1650908778,81,-3.6667,152.4333,78.44,4.38
164,Thompson,20,CA,1650908779,32,55.7435,-97.8558,17.76,6.91
165,Clyde River,100,CA,1650908780,85,70.4692,-68.5914,8.83,25.32
166,Pozo Colorado,8,PY,1650908781,29,-23.4923,-58.7972,100.26,17.27
167,Srednekolymsk,92,RU,1650908781,100,67.45,153.6833,-1.23,3.71
168,Mandan,0,US,1650908703,56,46.8267,-100.8896,38.37,13.8
169,Chui,100,UY,1650908782,97,-33.6971,-53.4616,66.09,4.23
170,Silleda,57,ES,1650908783,53,42.696,-8.2465,60.1,5.08
171,Haines Junction,99,CA,1650908784,60,60.7522,-137.5108,37.35,0.0
172,Nongpoh,1,IN,1650908785,64,25.9,91.8833,72.97,3.56
173,Faanui,59,PF,1650908786,73,-16.4833,-151.75,80.64,5.95
174,Norman Wells,75,CA,1650908786,65,65.282,-126.8329,39.24,3.44
175,Houma,40,US,1650908787,63,29.5958,-90.7195,86.0,9.22
176,Gazojak,100,TM,1650908788,29,41.1875,61.4036,70.3,14.14
177,Kisesa,95,TZ,1650908789,90,-3.0833,34.15,64.54,4.68
178,Ginda,53,IN,1650908789,54,30.6945,78.4932,56.25,8.95
179,Saint-Philippe,49,RE,1650908790,83,-21.3585,55.7679,74.79,15.99
180,Cabedelo,100,BR,1650908543,80,-6.9811,-34.8339,86.67,12.77
181,Moyobamba,94,PE,1650908790,94,-6.05,-76.9667,73.89,1.57
182,Sovetskiy,100,RU,1650908791,95,61.3614,63.5842,33.87,3.69
183,Port-Gentil,40,GA,1650908792,84,-0.7193,8.7815,84.16,6.91
184,Tabou,100,CI,1650908792,81,4.423,-7.3528,80.98,6.67
185,Porto Nacional,35,BR,1650908793,53,-10.7081,-48.4172,91.4,6.29
186,Tilichiki,96,RU,1650908793,93,60.4667,166.1,23.18,10.85
187,Vila,60,PT,1650908794,67,42.0304,-8.1588,56.28,6.46
188,Belmonte,5,BR,1650908794,63,-15.8631,-38.8828,83.25,10.13
189,Korem,94,ET,1650908795,68,12.5058,39.5228,59.05,3.51
190,Tiksi,98,RU,1650908796,100,71.6872,128.8694,-6.77,3.27
191,Acajutla,8,SV,1650908796,63,13.5928,-89.8275,85.42,8.46
192,Hofn,100,IS,1650908797,87,64.2539,-15.2082,41.02,13.8
193,Mnogovershinnyy,29,RU,1650908798,85,53.9353,139.9242,14.59,3.76
194,Cockburn Town,98,TC,1650908799,67,21.4612,-71.1419,77.88,16.28
195,Tamandaré,81,BR,1650908799,76,-8.7597,-35.1047,81.32,12.08
196,Ancud,100,CL,1650908800,92,-41.8697,-73.8203,52.23,29.53
197,Adrar,0,MR,1650908801,17,20.5022,-10.0711,89.19,17.83
198,San Policarpo,100,PH,1650908802,85,12.1791,125.5072,81.41,14.12
199,Naze,31,JP,1650908803,92,28.3667,129.4833,72.52,14.32
200,Paamiut,96,GL,1650908803,88,61.994,-49.6678,31.59,14.29
201,Manga,100,BF,1650908804,8,11.6636,-1.0731,98.44,5.37
202,Nome,100,US,1650908805,93,64.5011,-165.4064,31.15,5.75
203,Mar del Plata,0,AR,1650908806,71,-38.0023,-57.5575,68.02,14.0
204,Southbridge,100,US,1650908781,33,42.0751,-72.0334,64.36,3.0
205,Santiago del Estero,3,AR,1650908807,45,-27.7951,-64.2615,90.9,4.18
206,Deder,100,ET,1650908808,87,9.3167,41.45,57.69,3.83
207,Mossamedes,2,AO,1650908808,80,-15.1961,12.1522,71.28,7.47
208,Mercedes,6,AR,1650908809,44,-34.6515,-59.4307,79.65,13.89
209,Sobolevo,100,RU,1650908810,93,54.4299,31.8996,48.65,3.15
210,Gigmoto,99,PH,1650908811,87,13.7796,124.39,80.51,10.85
211,Carnarvon,40,AU,1650908812,83,-24.8667,113.6333,68.07,3.44
212,Severo-Kuril'sk,99,RU,1650908812,87,50.6789,156.125,31.42,18.97
213,Beringovskiy,100,RU,1650908813,96,63.05,179.3167,26.1,22.53
214,Nagtipunan,34,PH,1650908814,95,16.2167,121.6,72.86,2.04
215,Coahuayana Viejo,6,MX,1650908815,36,18.7333,-103.6833,88.54,7.72
216,Posadas,0,AR,1650908816,48,-27.3671,-55.8961,89.08,17.27
217,Nanortalik,89,GL,1650908817,89,60.1432,-45.2371,35.38,9.6
218,Hilo,75,US,1650908817,92,19.7297,-155.09,71.33,4.61
219,Myitkyina,2,MM,1650908817,53,25.3833,97.4,73.13,2.37
220,Kazygurt,90,KZ,1650908818,62,41.7589,69.3864,52.52,5.68
221,Griffith,100,US,1650908819,59,41.5284,-87.4237,57.09,17.27
222,Trairi,73,BR,1650908604,85,-3.2778,-39.2689,81.0,9.53
223,Pevek,95,RU,1650908820,93,69.7008,170.3133,1.78,2.91
224,Brigantine,100,US,1650908821,74,39.4101,-74.3646,58.19,16.11
225,Upernavik,32,GL,1650908821,83,72.7868,-56.1549,21.29,0.76
226,Nœux-les-Mines,78,FR,1650908822,78,50.4801,2.6657,53.62,10.02
227,São Filipe,2,CV,1650908823,64,14.8961,-24.4956,77.38,8.93
228,Fort Nelson,100,CA,1650908550,87,58.8053,-122.7002,35.19,2.3
229,Verkhnyaya Inta,99,RU,1650908824,86,65.9811,60.3094,30.42,10.42
230,Margate,80,GB,1650908544,80,51.3813,1.3862,53.31,8.99
231,Taltal,23,CL,1650908825,77,-25.4,-70.4833,66.54,7.45
232,Balkhash,31,KZ,1650908826,59,46.844,74.9804,42.13,8.14
233,kimparana,18,ML,1650908826,8,12.8347,-4.9244,101.57,5.5
234,Gbarnga,99,LR,1650908827,73,6.9956,-9.4722,80.6,7.07
235,Malanje,81,AO,1650908828,87,-9.5402,16.341,67.03,2.06
236,Cayenne,75,GF,1650908828,7,4.9333,-52.3333,85.08,16.11
237,Diamantino,13,BR,1650908829,38,-14.4086,-56.4461,93.65,10.07
238,Jinchang,35,CN,1650908830,28,38.4953,102.1739,55.72,2.84
239,Kamina,55,CD,1650908831,94,-8.7386,24.9906,66.18,2.59
240,Rawson,84,AR,1650908831,26,-43.3002,-65.1023,63.52,21.52
241,Abu Samrah,22,SY,1650908832,38,35.3029,37.1841,72.79,11.1
242,Bandarbeyla,53,SO,1650908541,70,9.4942,50.8122,82.71,8.61
243,Sambava,70,MG,1650908833,86,-14.2667,50.1667,76.39,9.1
244,Bubaque,10,GW,1650908834,76,11.2833,-15.8333,78.22,18.43
245,Manggar,88,ID,1650908835,78,-2.8833,108.2667,81.21,1.72
246,Oxílithos,41,GR,1650908835,70,38.5833,24.1167,64.72,3.8
247,Mount Gambier,90,AU,1650908836,87,-37.8333,140.7667,53.51,5.75
248,Kamenka,73,RU,1650908837,70,51.3223,42.7678,59.76,7.63
249,Ixtapa,0,MX,1650908838,27,20.7,-105.2,91.62,7.83
250,Fomboni,58,KM,1650908839,75,-12.28,43.7425,83.23,7.02
251,Dingle,36,PH,1650908840,89,10.9995,122.6711,78.12,6.71
252,São José da Coroa Grande,85,BR,1650908840,74,-8.8978,-35.1478,81.68,13.15
253,Adwa,84,ET,1650908841,33,14.1646,38.8955,76.06,5.64
254,Flinders,100,AU,1650908842,92,-34.5833,150.8552,60.19,5.99
255,Pakxan,22,LA,1650908843,71,18.3778,103.6601,80.38,2.55
256,Leh,99,IN,1650908844,60,34.1667,77.5833,40.87,6.02
257,Labuhan,92,ID,1650908844,86,-6.8844,112.2051,79.12,3.42
258,Korla,100,CN,1650908845,26,41.7597,86.1469,63.57,24.79
259,Hamilton,75,US,1650908822,80,39.1834,-84.5333,73.65,14.97
260,Zheleznodorozhnyy,100,RU,1650908846,74,55.7503,38.0042,56.75,6.15
261,Tuktoyaktuk,100,CA,1650908847,92,69.4541,-133.0374,32.56,4.0
262,Anloga,14,GH,1650908848,75,5.7947,0.8973,83.79,8.93
263,Abū Zabad,80,SD,1650908848,6,12.35,29.25,91.47,7.05
